Switch,f_switch,I_amplitude,Alpha,N_num1,N_num2,Po,P_S_switch_25,P_S_conduct_25,Efficiency,
1700,900,1.000000,-10,4,7,1980687.650361,1845.665739,6952.479257,0.995558,
1700,900,1.000000,-9,4,7,1986481.211829,1845.787046,6951.956875,0.995571,
1700,900,1.000000,-8,4,7,1991669.671877,1845.318373,6951.507342,0.995583,
1700,900,1.000000,-7,4,7,1996251.450048,1845.614727,6951.072299,0.995593,
1700,900,1.000000,-6,4,7,2000225.150690,1845.192774,6950.620618,0.995603,
1700,900,1.000000,-5,4,7,2003589.563374,1844.126439,6950.225102,0.995611,
1700,900,1.000000,-4,4,7,2006343.663268,1844.167570,6949.910097,0.995617,
1700,900,1.000000,-3,4,7,2008486.611447,1843.870605,6949.687428,0.995622,
1700,900,1.000000,-2,4,7,2010017.755147,1843.335829,6949.546467,0.995625,
1700,900,1.000000,-1,4,7,2010936.627967,1843.543662,6949.485469,0.995627,
1700,900,1.000000,0,4,7,2011242.950010,1843.451442,6949.510507,0.995628,
1700,900,1.000000,1,4,7,2010936.627967,1843.043980,6949.531158,0.995628,
1700,900,1.000000,2,4,7,2010017.755147,1841.850251,6949.635012,0.995626,
1700,900,1.000000,3,4,7,2008486.611447,1841.515881,6949.824784,0.995623,
1700,900,1.000000,4,4,7,2006343.663268,1840.644146,6950.091986,0.995619,
1700,900,1.000000,5,4,7,2003589.563374,1835.053258,6950.442492,0.995615,
1700,900,1.000000,6,4,7,2000225.150690,1832.077189,6950.879133,0.995609,
1700,900,1.000000,7,4,7,1996251.450048,1832.945957,6951.369391,0.995600,
1700,900,1.000000,8,4,7,1991669.671877,1833.629340,6951.835003,0.995589,
1700,900,1.000000,9,4,7,1986481.211829,1835.124823,6952.320544,0.995576,
1700,900,1.000000,10,4,7,1980687.650361,1836.428535,6952.882709,0.995562,
1700,900,0.900000,-10,4,7,1782618.885325,1715.612993,6069.087129,0.995633,
1700,900,0.900000,-9,4,7,1787833.090646,1714.790662,6068.660524,0.995646,
1700,900,0.900000,-8,4,7,1792502.704689,1714.106181,6068.233183,0.995658,
1700,900,0.900000,-7,4,7,1796626.305043,1713.913653,6067.807923,0.995669,
1700,900,0.900000,-6,4,7,1800202.635621,1713.687337,6067.415699,0.995678,
1700,900,0.900000,-5,4,7,1803230.607037,1713.429271,6067.082125,0.995685,
1700,900,0.900000,-4,4,7,1805709.296942,1714.120141,6066.806831,0.995691,
1700,900,0.900000,-3,4,7,1807637.950302,1714.166863,6066.617548,0.995696,
1700,900,0.900000,-2,4,7,1809015.979632,1713.542923,6066.500891,0.995699,
1700,900,0.900000,-1,4,7,1809842.965170,1713.454097,6066.428126,0.995701,
1700,900,0.900000,0,4,7,1810118.655009,1712.866247,6066.430422,0.995702,
1700,900,0.900000,1,4,7,1809842.965170,1711.995192,6066.469827,0.995702,
1700,900,0.900000,2,4,7,1809015.979632,1710.976080,6066.586071,0.995701,
1700,900,0.900000,3,4,7,1807637.950302,1710.492391,6066.745573,0.995698,
